courseTitle|courseCode|subterm|creditHours|instructor|courseDays|timeSlot|buildingCode|room|comments
Figure Drawing|ARTS 3020 R    1|Fall|2|Vera Iliatova|R|12:00 PM - 2:00 PM|HEIM|203|Open
Drawing the Body in 21st Century|ARTS 3049 R    1|Spring|5|Marion Wilson|M W|11:05 AM - 1:30 PM|HEIM|300|Intermediate
1001 Drawings|ARTS 3057 R    1|Spring|5|John O'Connor|T R|11:05 AM - 1:30 PM|HEIM|300|Open
Intermediate Painting|ARTS 3058 R    1|Fall|5|Yevgeniya Baras|W|9:00 AM - 12:00 PM|HEIM|203|Intermediate
Intermediate Painting|ARTS 3058 R    1|Fall|5|Yevgeniya Baras|R|9:00 AM - 11:00 AM|HEIM|203| 
Introduction to Painting|ARTS 3060 R    1|Fall|5|Claudia Bitran|W|10:00 AM - 12:00 PM|HEIM|206| 
Introduction to Painting|ARTS 3060 R    1|Fall|5|Claudia Bitran|T|10:00 AM - 1:00 PM|HEIM|206|Open
Introduction to Painting|ARTS 3060 R    2|Spring|5|Claudia Bitran|T|10:00 AM - 1:00 PM|HEIM|206|Open
Introduction to Painting|ARTS 3060 R    2|Spring|5|Claudia Bitran|W|10:00 AM - 12:00 PM|HEIM|206| 
From Collage to Painting|ARTS 3071 R    1|Spring|2|Yevgeniya Baras|W|12:00 PM - 2:00 PM|HEIM|203|Open
Intermediate Painting|ARTS 3073 R    1|Spring|5|Yevgeniya Baras|W|9:00 AM - 12:00 PM|HEIM|203|Intermediate
Intermediate Painting|ARTS 3073 R    1|Spring|5|Yevgeniya Baras|R|9:00 AM - 11:00 AM|HEIM|203|Intermediate
Painting Pop|ARTS 3079 R    1|Fall|2|Claudia Bitran|T|3:00 PM - 5:00 PM|HEIM|206|Open
Art for Good|ARTS 3102 R    1|Spring|2|Joel Sternfeld|T|11:05 AM - 1:00 PM|HEIM|106|Open
Black and White Darkroom: An Immersion|ARTS 3103 R    1|Fall|5|Sophie Barbasch|W|1:00 PM - 4:00 PM|HEIM|106| 
Black and White Darkroom: An Immersion|ARTS 3103 R    1|Fall|5|Sophie Barbasch|M|3:00 PM - 5:00 PM|HEIM|106|Open
Reality TV: Ritual and Catharsis|ARTS 3109 R    1|Spring|2|Sophie Barbasch|M|6:00 PM - 8:00 PM|HEIM|106|Open
The New Narrative Photography|ARTS 3111 R    1|Year|10|Joel Sternfeld|M|11:05 AM - 2:00 PM|HEIM|106|Open
The New Narrative Photography|ARTS 3111 R    1|Year|10|Joel Sternfeld|R|12:00 PM - 2:00 PM|HEIM|106| 
Contemporary Art Related Photography Through Its Exemplars|ARTS 3117 R    1|Year|10|Joel Sternfeld|T|3:00 PM - 6:00 PM|HEIM|106|Open
Contemporary Art Related Photography Through Its Exemplars|ARTS 3117 R    1|Year|10|Joel Sternfeld|R|4:00 PM - 6:00 PM|HEIM|106| 
Relationship Stories|ARTS 3154 R    1|Spring|5|Sophie Barbasch|M|3:00 PM - 5:00 PM|HEIM|106|Intermediate
Relationship Stories|ARTS 3154 R    1|Spring|5|Sophie Barbasch|W|1:00 PM - 4:00 PM|HEIM|106| 
Zines and Artists' Publications|ARTS 3205 R    1|Spring|2|Katherine Garth|M|2:00 PM - 4:00 PM|HEIM|109|Open
Relief Printmaking|ARTS 3207 R    1|Spring|5|Vera Iliatova|T|10:30 AM - 1:30 PM|HEIM|109|Open
Relief Printmaking|ARTS 3207 R    1|Spring|5|Vera Iliatova|R|10:00 AM - 12:00 PM|HEIM|109| 
Printmaking: Intaglio (Etching)|ARTS 3208 R    1|Fall|5|Katherine Garth|M W|11:05 AM - 1:30 PM|HEIM|110|Open
The Painterly Print|ARTS 3212 R    1|Fall|5|Vera Iliatova|R|10:00 AM - 12:00 PM|HEIM|109| 
The Painterly Print|ARTS 3212 R    1|Fall|5|Vera Iliatova|T|10:30 AM - 1:30 PM|HEIM|109|Open
Advanced Printmaking Workshop|ARTS 3275 R    1|Spring|5|Katherine Garth|M W|11:05 AM - 1:30 PM|HEIM|110|Intermediate/Advanced
What Remains: Presenting Absence|ARTS 3301 R    1|Spring|2|Jean Shin|M|3:35 PM - 5:30 PM|HEIM|212|Open
Urban Voids as Artifact:The Commons and Collectivity|ARTS 3304 R    1|Spring|5|Nick Roseboro|F|11:05 AM - 1:30 PM|HEIM|210|Open
Urban Voids as Artifact:The Commons and Collectivity|ARTS 3304 R    1|Spring|5|Nick Roseboro|F|11:05 AM - 1:30 PM|HEIM|209A|Open
Urban Voids as Artifact:The Commons and Collectivity|ARTS 3304 R    1|Spring|5|Nick Roseboro|T  F|11:05 AM - 1:30 PM|HEIM|213|Open
Free-Standing: Intro to Sculptural Forms|ARTS 3305 R    1|Fall|5|Katie Bell|M  R|1:00 PM - 3:25 PM|HEIM|118|Open
Activating Art in Public Place|ARTS 3315 R    1|Spring|5|Jean Shin|T|3:35 PM - 6:00 PM|HEIM|119| 
Activating Art in Public Place|ARTS 3315 R    1|Spring|5|Jean Shin|T|11:05 AM - 1:30 PM|HEIM|119| 
Experiments in Sculptural Drawing|ARTS 3316 R    1|Spring|2|Katie Bell|R|10:00 AM - 12:00 PM|HEIM|118|Open
Assemblage: The Found Palette|ARTS 3319 R    1|Spring|5|Katie Bell|M  R|1:00 PM - 3:25 PM|HEIM|118|Open
Creative Reuse|ARTS 3341 R    1|Fall|5|Jean Shin|T R|10:05 AM - 12:30 PM|HEIM|119|Open
Creative Reuse|ARTS 3341 R    1|Fall|5|Jean Shin|T R|10:00 AM - 11:00 AM|HEIM|135| 
New Genres: Drawing Machines|ARTS 3343 R    1|Spring|5|Angela Ferraiolo|M W|1:00 PM - 3:25 PM|HEIM|107|Open
New Genres: Drawing Machines|ARTS 3343 R    1|Spring|5|Angela Ferraiolo|M W|1:00 PM - 2:00 PM|HEIM|211| 
New Genres: Abstract Video|ARTS 3350 R    1|Spring|5|Angela Ferraiolo|M W|10:00 AM - 12:30 PM|HEIM|107|Open
New Genres: Abstract Video|ARTS 3350 R    1|Spring|5|Angela Ferraiolo|M W|10:00 AM - 11:00 AM|HEIM|111| 
New Genres: Diary Forms|ARTS 3351 R    1|Fall|5|Angela Ferraiolo|M W|10:00 AM - 12:30 PM|HEIM|107|Open
New Genres: Diary Forms|ARTS 3351 R    1|Fall|5|Angela Ferraiolo|M W|10:00 AM - 11:00 AM|HEIM|111| 
New Genres: Graphic Novel|ARTS 3352 R    1|Spring|2|Angela Ferraiolo|W|4:00 PM - 6:00 PM|HEIM|107|Open
The Pendulum of Labor and Leisure|ARTS 3367 R    1|Fall|5|Nick Roseboro|T  F|11:05 AM - 1:30 PM|HEIM|213|Open
Art from Code:  New Genres|ARTS 3392 R    1|Fall|5|Angela Ferraiolo|M W|1:00 PM - 3:25 PM|HEIM|107|Open
Art from Code:  New Genres|ARTS 3392 R    1|Fall|5|Angela Ferraiolo|M W|1:00 PM - 2:00 PM|HEIM|210| 
Performance Art|ARTS 3424 R    1|Spring|5|Clifford Owens|M  R|4:35 PM - 7:00 PM|HEIM|112|Open
Performance Art:Tactics|ARTS 3428 R    1|Fall|5|Dawn Kasper|M W|3:35 PM - 5:30 PM|HEIM|112|Open
Push and Pull: SubD Modeling in Rhino|ARTS 3470 R    1|Spring|2|Momoyo Torimitsu|T|3:35 PM - 5:35 PM|HEIM|209|Open
Push and Pull: SubD Modeling in Rhino|ARTS 3470 R    1|Spring|2|Momoyo Torimitsu|T|3:35 PM - 5:35 PM|HEIM|209A| 
Introduction to Rhino and Digital Fabrication|ARTS 3476 R    1|Fall|5|Momoyo Torimitsu|M  R|11:05 AM - 1:30 PM|HEIM|209A|Open
Introduction to Rhino and 3D Fabrication|ARTS 3476 R    2|Spring|5|Momoyo Torimitsu|T R|11:05 AM - 1:30 PM|HEIM|209A|Open
Introduction to Rhino and 3D Fabrication|ARTS 3476 R    2|Spring|5|Momoyo Torimitsu|T R|11:05 AM - 1:30 PM|HEIM|209| 
Senior Studio|ARTS 4112 R    1|Year|10|John O'Connor|W|10:00 AM - 3:25 PM|HEIM|305|Advanced
East Meets West: China &amp; the World in Medieval Times|ASIA 2012 L    1|Spring|5|Ellen Neskar|M|3:35 PM - 5:30 PM|SC|103|Open
East Meets West: China &amp; the World in Medieval Times|ASIA 2012 L    1|Spring|5|Ellen Neskar|W|11:05 AM - 12:00 PM|MORL|CL|Group conference, meets weekly
East Meets West: China &amp; the World in Medieval Times|ASIA 2012 L    1|Spring|5|Ellen Neskar|W|2:00 PM - 2:55 PM|TWEED|12|Group conference, meets weekly
East Meets West: China &amp; the World in Medieval Times|ASIA 2012 L    1|Spring|5|Ellen Neskar|W|3:35 PM - 4:30 PM|TWEED|12|Group conference, meets weekly
Gender and History in China:Beyond Eunuchs &amp; Concubines|ASIA 3166 R    1|Year|10|Kevin Landdeck|W|3:35 PM - 6:00 PM|TWEED|LR|Sophomores and above
Virtue and the Good Life: Ethics in Classical Chinese Philosophy|ASIA 3351 R    1|Spring|5|Ellen Neskar|T|3:35 PM - 6:30 PM|DL|04|Open
FYS: The Brain According to Oliver Sacks|BIOL 1027 F    1|Year|10|Cecilia Toro|T  F|11:05 AM - 12:30 PM|SHEFF|02|First Year Studies
FYS: The Brain According to Oliver Sacks|BIOL 1027 F    1|Year|10|Cecilia Toro|W|7:00 PM - 9:00 PM|TITS|LH|Group collaborative; fall only
General Biology: Genes, Cells, and Evolution|BIOL 2020 L    1|Fall|5|Drew Cressman|M W|9:00 AM - 10:55 AM|SC|103|Open
General Biology: Genes, Cells, and Evolution|BIOL 2020 L    1|Fall|5|Drew Cressman|W|2:00 PM - 5:00 PM|SC|205|Lab, section 1
General Biology: Genes, Cells, and Evolution|BIOL 2020 L    1|Fall|5|Drew Cressman|R|2:00 PM - 5:00 PM|SC|205|Lab, section 2
General Biology: Genes, Cells, and Evolution|BIOL 2020 L    1|Fall|5|Drew Cressman|F|11:05 AM - 12:00 PM|SC|101|Group conference
General Biology: Genes, Cells, and Evolution|BIOL 2020 L    1|Fall|5|Drew Cressman|F|10:00 AM - 10:55 AM|SC|101|Group conference
Evolutionary Biology|BIOL 2030 L    1|Spring|5|Michelle Hersh|M|2:00 PM - 3:25 PM|SC|103|Open
Evolutionary Biology|BIOL 2030 L    1|Spring|5|Michelle Hersh|W|11:05 AM - 12:30 PM|SC|103|Group conference, meets weekly
Evolutionary Biology|BIOL 2030 L    1|Spring|5|Michelle Hersh|R|2:00 PM - 3:25 PM|SC|201|Group conference, meets weekly
Evolutionary Biology|BIOL 2030 L    1|Spring|5|Michelle Hersh|F|2:00 PM - 3:25 PM|SC|201|Group conference, meets weekly
Drugs and the Brain|BIOL 2065 L    1|Spring|5|Cecilia Toro|W F|2:00 PM - 3:25 PM|SC|103|Open
Drugs and the Brain|BIOL 2065 L    1|Spring|5|Cecilia Toro|R|10:00 AM - 10:55 AM|SHEFF|22|Group conference
Drugs and the Brain|BIOL 2065 L    1|Spring|5|Cecilia Toro|R|11:05 AM - 12:00 PM|SHEFF|22|Group conference
Anatomy and Physiology|BIOL 3012 R    1|Spring|5|Beth Ditkoff|T|11:00 AM - 1:00 PM|SC|206|Lab
Anatomy and Physiology|BIOL 3012 R    1|Spring|5|Beth Ditkoff|M W|9:30 AM - 10:55 AM|SC|101|Open
Ecology|BIOL 3014 R    1|Fall|5|Michelle Hersh|T  F|11:05 AM - 12:30 PM|SC|201|Open
Ecology|BIOL 3014 R    1|Fall|5|Michelle Hersh|W|9:30 AM - 12:30 PM|SC|205|Lab
Viruses and Pandemics|BIOL 3073 R    1|Spring|5|Drew Cressman|M W|9:00 AM - 10:55 AM|SC|201|Open
Hormones, Food, and Sex|BIOL 3202 R    1|Fall|5|Cecilia Toro|W F|2:00 PM - 3:25 PM|SC|201|Open
Wild Animals and Conservation|BIOL 3250 R    1|Spring|5|Liv Baker|T R|3:30 PM - 5:00 PM|BATES|04|Open
Microbiology|BIOL 3253 R    1|Spring|5|Michelle Hersh|T  F|11:05 AM - 12:30 PM|SC|201|Intermediate
Microbiology|BIOL 3253 R    1|Spring|5|Michelle Hersh|W|1:30 PM - 4:30 PM|SC|205|Lab
Animal Behavior|BIOL 3302 R    1|Fall|5|Liv Baker|T R|3:30 PM - 5:00 PM|BATES|015|Open
Giving, Taking, and Cheating: The Ecology of Symbiosis|BIOL 3311 R    1|Fall|5|Michelle Hersh|M  R|2:00 PM - 3:25 PM|SC|201|Open
Genetics|BIOL 3617 R    1|Fall|5|Drew Cressman|M|2:00 PM - 5:00 PM|SC|206|Lab
Genetics|BIOL 3617 R    1|Fall|5|Drew Cressman|T R|9:00 AM - 10:55 AM|SC|201|Sophomores and above
Cell Biology|BIOL 3657 R    1|Spring|5|Drew Cressman|R|2:00 PM - 5:00 PM|SC|206|Lab
Cell Biology|BIOL 3657 R    1|Spring|5|Drew Cressman|T R|9:00 AM - 10:55 AM|SC|201|Intermediate
FYS: The Extraordinary Chemistry of Everyday Life|CHEM 1021 F    1|Year|10|Mali Yin|T R|9:30 AM - 10:55 AM|SC|101|First Year Studies
General Chemistry I|CHEM 2010 L    1|Fall|5|Colin Abernethy|M  R|11:05 AM - 12:30 PM|SC|103|Open
General Chemistry I|CHEM 2010 L    1|Fall|5|Colin Abernethy|MT|3:35 PM - 6:35 PM|SC|305|Lab
General Chemistry I|CHEM 2010 L    1|Fall|5|Colin Abernethy|T|10:00 AM - 10:55 AM|SHEFF|01|Group conference
General Chemistry I|CHEM 2010 L    1|Fall|5|Colin Abernethy|W|10:00 AM - 10:55 AM|SHEFF|01|Group conference
General Chemistry II|CHEM 2011 L    1|Spring|5|Michael Malin|T|10:00 AM - 10:55 AM|SHEFF|01|Group conference
General Chemistry II|CHEM 2011 L    1|Spring|5|Michael Malin|W|10:00 AM - 10:55 AM|SHEFF|01|Group conference
General Chemistry II|CHEM 2011 L    1|Spring|5|Michael Malin|M  R|11:05 AM - 12:30 PM|SC|103|Intermediate
General Chemistry II|CHEM 2011 L    1|Spring|5|Michael Malin|MT|3:35 PM - 6:35 PM|SC|305|Lab
The Chemistry of Art Materials|CHEM 3132 R    1|Fall|5|Michael Malin|M  R|7:00 PM - 8:25 PM|SC|101|Open
Molecules: Bonding, Structure and Reactivity|CHEM 3521 R    1|Fall|5|Colin Abernethy|W|3:35 PM - 6:00 PM|SC|305|Lab
Molecules: Bonding, Structure and Reactivity|CHEM 3521 R    1|Fall|5|Colin Abernethy|M  R|2:00 PM - 3:25 PM|SC|101|Intermediate
Organic Chemistry I|CHEM 3650 R    1|Fall|5|Mali Yin|W|3:35 PM - 7:00 PM|SC|304|Lab
Organic Chemistry I|CHEM 3650 R    1|Fall|5|Mali Yin|W F|2:00 PM - 3:25 PM|SC|101|Open
Organic Chemistry II|CHEM 3651 R    1|Spring|5|Mali Yin|W|3:35 PM - 7:00 PM|SC|304|Lab
Organic Chemistry II|CHEM 3651 R    1|Spring|5|Mali Yin|W F|2:00 PM - 3:25 PM|SC|101|Intermediate
An Introduction to Computer Science: The Way of the Program|COMP 2012 L    1|Fall|5|James Marshall|T R|3:35 PM - 5:00 PM|SC|103|Open
An Introduction to Computer Science: The Way of the Program|COMP 2012 L    1|Fall|5|James Marshall|F|10:00 AM - 10:55 AM|SC|301|Group conference
An Introduction to Computer Science: The Way of the Program|COMP 2012 L    1|Fall|5|James Marshall|F|11:05 AM - 12:00 PM|SC|301|Group conference
An Introduction to Computer Science: The Way of the Program|COMP 2012 L    1|Fall|5|James Marshall|W|2:00 PM - 3:25 PM|SC|104|Lab
An Introduction to Computer Science: The Way of the Program|COMP 2012 L    1|Fall|5|James Marshall|W|9:30 AM - 10:55 AM|SC|104|Lab
Digital Disruptions|COMP 3122 R    1|Fall|5|Michael Siff|M W|9:30 AM - 10:55 AM|SC|101|Open
Artificial Intelligence and Society|COMP 3213 R    1|Spring|5|James Marshall|T  F|11:05 AM - 12:30 PM|SC|101|Open
Intermediate Programming in Python|COMP 3557 R    1|Fall|5|James Marshall|T R|9:30 AM - 10:55 AM|SC|104|Intermediate
Data Structures and Algorithms|COMP 3865 R    1|Spring|5|James Marshall|W|3:35 PM - 5:00 PM|SC|104|Lab
Data Structures and Algorithms|COMP 3865 R    1|Spring|5|James Marshall|T R|3:35 PM - 5:00 PM|SC|104|Intermediate
Random and Prime|COMP 4111 R    1|Spring|5|Michael Siff|M W|9:30 AM - 10:55 AM|SC|301|Advanced
FYS in Dance|DNCE 1028 F    1|Year|10|John Jasperse|W|4:00 PM - 6:00 PM|MACC|DS|First Year Studies
Dance Study (1-credit)|DNCE 4400 P    1|Fall|1|John Jasperse| |-| | |Reg for Comp through Dance Dep
Dance Study (1-credit)|DNCE 4400 P    1|Spring|1|John Jasperse| |-| | |Reg for Component w/Dance Dept
Dance Study (3-credit)|DNCE 4400 P    3|Fall|3|John Jasperse| |-| | |Reg for Comp through Dance Dep
Dance Study (3-credit)|DNCE 4400 P    3|Spring|3|John Jasperse| |-| | |Reg for Component w/Dance Dept
Dance Program - Two/Thirds|DNCE 4498 P    1|Year|10|John Jasperse| |-| | |Reg for Comp through Dance Dep
Dance Third|DNCE 4499 P    1|Year|10|John Jasperse| |-| | |Reg for Comp through Dance Dep
Movement Studio Practice I|DNCE 5502 U    1|Fall|0|Peggy Gould|M W F|11:05 AM - 12:45 PM|MACC|DS|Component
Movement Studio Practice I|DNCE 5502 U    2|Spring|0|Catherine Leasca|M W F|11:05 AM - 12:45 PM|MACC|DS|Component
Movement Studio Practice 2|DNCE 5503 U    1|Fall|0|Jessie Young|M W F|9:00 AM - 10:45 AM|MACC|DS|Component
Movement Studio Practice 2|DNCE 5503 U    1|Fall|0|Jodi Melnick| |-| | | 
Movement Studio Practice 2|DNCE 5503 U    2|Spring|0|Wendell Gray| |-| | | 
Movement Studio Practice 2|DNCE 5503 U    2|Spring|0|Jennifer Nugent|M W F|9:00 AM - 10:45 AM|MACC|DS|Component
Movement Studio Practice 3|DNCE 5505 U    1|Fall|0|Jodi Melnick|M W F|9:00 AM - 10:45 AM|PAC|BESSI|Component
Movement Studio Practice 3|DNCE 5505 U    1|Fall|0|Wendell Gray| |-| | | 
Movement Studio Practice 3|DNCE 5505 U    2|Spring|0|Jessie Young| |-| | | 
Movement Studio Practice 3|DNCE 5505 U    2|Spring|0|Jennifer Nugent|M W F|9:00 AM - 10:45 AM|PAC|BESSI|Component
Dance Meeting|DNCE 5506 U    1|Year|0|John Jasperse|T|2:00 PM - 3:25 PM|PAC|BESSI|Component, meets monthly
Dance Tech/Production|DNCE 5507 U    1|Year|0|John Jasperse| |-| | |Requirement for dance programs
The Alexander Technique|DNCE 5509 U    1|Fall|0|Peggy Gould|M|1:45 PM - 3:25 PM|TITS|DNST|Component
Ballet 1|DNCE 5510 U    1|Fall|0|Megan Williams|T R|11:05 AM - 12:45 PM|MACC|DS|Component
Ballet 1|DNCE 5510 U    2|Spring|0|Susan Scranton|T R|11:05 AM - 12:45 PM|MACC|DS|Component
Ballet 2|DNCE 5512 U    1|Fall|0|Megan Williams|T R|9:00 AM - 10:45 AM|MACC|DS|Component
Ballet 2|DNCE 5512 U    2|Spring|0|Susan Scranton|T R|9:00 AM - 10:45 AM|MACC|DS|Component
Dance Composition|DNCE 5517 U    1|Spring|0|John Jasperse|R|9:00 AM - 10:45 AM|PAC|BESSI|Component
Dance Composition|DNCE 5517 U    1|Fall|0|Juliana May|F|1:45 PM - 3:25 PM|PAC|BESSI|Component
Dance Teaching Methods|DNCE 5522 U    1|Spring|0|Jennifer Nugent|F|1:45 PM - 3:25 PM|PAC|BESSI|Component
Dancing in Progress: Perspectives on Teaching and Learning|DNCE 5523 U    1|Fall|0|Peggy Gould|F|1:45 PM - 3:25 PM|PAC|BESSI|Component
Live Time-Based Art|DNCE 5524 U    1|Fall|0|John Jasperse|T|5:30 PM - 7:30 PM|PAC|BESSI|Component
Live Time-Based Art|DNCE 5524 U    1|Fall|0|Juliana May| |-| | | 
Live Time-Based Art|DNCE 5524 U    2|Spring|0|John Jasperse| |-| | | 
Live Time-Based Art|DNCE 5524 U    2|Spring|0|Elizabeth Gill|T|5:30 PM - 7:30 PM|PAC|BESSI|Component
Costume Design for Dance|DNCE 5527 U    1|Year|0|Elizabeth Prince|R|3:35 PM - 5:30 PM|PAC|CS|Component
Improvisation|DNCE 5531 U    1|Fall|0|John Jasperse|R|9:00 AM - 10:45 AM|PAC|BESSI|Component
Salsa|DNCE 5539 U    1|Spring|0|Nelida Tirado|T|3:35 PM - 5:15 PM|PAC|BESSI|Component
Hip-Hop|DNCE 5542 U    1|Fall|0|Matthew Lopez|T R|3:35 PM - 5:30 PM|CSC|ST|Component
Music for Dancers|DNCE 5551 U    1|Spring|0|William Catanzaro|W|1:45 PM - 3:25 PM|PAC|BESSI|Component
Movement Materials Lab|DNCE 5553 U    1|Fall|0|Jodi Melnick|M|11:05 AM - 12:45 PM|PAC|BESSI|Component
Choreographing Light for the Stage|DNCE 5564 U    1|Year|0|Judith Kagel|M|1:45 PM - 3:25 PM|PAC|BESSI|Component
Moving the Movement|DNCE 5573 U    1|Spring|0|Rakia Seaborn|T|9:00 AM - 10:45 AM|PAC|1|Component
West African Dance|DNCE 5574 U    1|Spring|0|Ntifafa Akoko Tete Rosenthal|R|5:30 PM - 7:10 PM|MACC|DS|Component
Anatomy Seminar|DNCE 5575 U    1|Fall|0|Peggy Gould| |-| | |Component
Anatomy|DNCE 5576 U    1|Fall|0|Peggy Gould|T|11:05 AM - 12:45 PM|PAC|BESSI|Component
Anatomy|DNCE 5576 U    2|Spring|0|Cara Reeser|T|11:05 AM - 12:45 PM|PAC|BESSI|Component
